full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Aaron Cresswell,32,1989/12/15,Premier League,2018/2019,Defender,West Ham United,1589,England,0,1,10000000.0
Aaron Lennon,35,1987/04/16,Premier League,2018/2019,Midfielder,Burnley,1217,England,1,1,5000000.0
Aaron Mooy,32,1990/09/15,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,Australia,3,1,14000000.0
Aaron Ramsey,31,1990/12/26,Premier League,2018/2019,Midfielder,Arsenal,1327,Wales,4,6,40000000.0
Aaron Wan-Bissaka,24,1997/11/26,Premier League,2018/2019,Midfielder,Crystal Palace,3135,England,0,3,35000000.0
Abdelhamid Sabiri,25,1996/11/28,Premier League,2018/2019,Midfielder,Huddersfield Town,49,Morocco,0,0,1500000.0
Abdoulaye Doucouré,29,1993/01/01,Premier League,2018/2019,Midfielder,Watford,3062,France,5,6,25000000.0
Aboubakar Kamara,27,1995/03/07,Premier League,2018/2019,Forward,Fulham,687,France,3,0,2750000.0
Adam Lallana,34,1988/05/10,Premier League,2018/2019,Midfielder,Liverpool,465,England,0,0,15000000.0
Adam Masina,28,1994/01/02,Premier League,2018/2019,Defender,Watford,1003,Italy,0,1,7000000.0
Adam Smith,31,1991/04/29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,England,1,1,7000000.0
Adama Diakhaby,26,1996/07/05,Premier League,2018/2019,Forward,Huddersfield Town,551,France,0,0,8000000.0
Adama Traoré,26,1996/01/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,650000.0
Adama Traoré,26,1996/01/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,2200000.0
Adama Traoré,26,1996/01/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,15000000.0
Adama Traoré,26,1996/01/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,300000.0
Ademola Lookman,25,1997/10/20,Premier League,2018/2019,Forward,Everton,601,England,0,2,20000000.0
Adrián,35,1987/01/03,Premier League,2018/2019,Goalkeeper,West Ham United,0,Spain,0,0,3500000.0
Adrian Mariappa,36,1986/10/03,Premier League,2018/2019,Defender,Watford,1921,Jamaica,0,0,3000000.0
Ainsley Maitland-Niles,25,1997/08/29,Premier League,2018/2019,Midfielder,Arsenal,985,England,1,1,12000000.0
Alberto Moreno,30,1992/07/05,Premier League,2018/2019,Defender,Liverpool,155,Spain,0,0,9000000.0
Aleksandar Mitrović,28,1994/09/16,Premier League,2018/2019,Forward,Fulham,3282,Serbia,11,3,25000000.0
Alex Iwobi,26,1996/05/03,Premier League,2018/2019,Forward,Arsenal,1972,Nigeria,3,6,25000000.0
Alex McCarthy,32,1989/12/03,Premier League,2018/2019,Goalkeeper,Southampton,2250,England,0,0,5000000.0
Alex Oxlade-Chamberlain,29,1993/08/15,Premier League,2018/2019,Midfielder,Liverpool,19,England,0,0,35000000.0
Alex Pritchard,29,1993/05/03,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,England,2,0,9000000.0
Alex Smithies,32,1990/03/05,Premier League,2018/2019,Goalkeeper,Cardiff City,0,England,0,0,3500000.0
Alexander Sørloth,26,1995/12/05,Premier League,2018/2019,Forward,Crystal Palace,173,Norway,0,0,6000000.0
Alexandre Lacazette,31,1991/05/28,Premier League,2018/2019,Forward,Arsenal,2503,France,13,8,70000000.0
Alfie Mawson,28,1994/01/19,Premier League,2018/2019,Defender,Fulham,1131,England,0,0,15000000.0
Alireza Jahanbakhsh,29,1993/08/11,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,Iran,0,0,15000000.0
